,Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses,Tuning Width
125,1,126,1.096495507,"[[468, 159], b'G']",1,Combined,0.711432343,13.89144005,0.780082368,17.57749074,19.52601702,0.744446881,1,Narrow
126,1,127,5.51358676,"[[235, 276], b'B']",0,Combined,0.211621548,15.78840135,1.166793764,13.58812149,74.60677573,0.106508325,3,Narrow
127,1,128,5.50229907,"[[235, 159], b'A']",0,Combined,0.182528014,9.396807474,1.004323724,10.09421304,51.48145346,0.196383544,0,Narrow
128,1,129,5.515691519,"[[351, 159], b'D']",0,Combined,0.123125683,9.161778446,0.679123286,13.5454214,74.40997054,0.023886443,4,Narrow
129,1,130,3.715042947,"[[468, 391], b'I']",1,Sham,0.286403384,15.49229856,1.064000872,14.51577305,54.09258206,0.202159103,4,Narrow
130,2,1,5.501873732,"[[235, 276], b'B']",0,Combined,0.235869279,18.64327134,1.29772299,14.49159158,79.04069333,0.157592565,0,Narrow
131,2,2,5.510462046,"[[351, 159], b'D']",0,Combined,1.185103295,18.04626099,6.530466726,3.374259097,15.22758486,0.739276794,0,Narrow
132,2,3,5.505861521,"[[468, 159], b'G']",0,Combined,13.22210046,15.63789029,72.79905417,0.215651833,1.182708476,0.519288912,0,Narrow
133,2,4,5.511744499,"[[468, 276], b'H']",0,Combined,11.5232111,8.365140015,63.51299537,0.156017474,0.725938278,0.72826133,0,Narrow
134,2,5,5.501302481,"[[468, 159], b'G']",0,Combined,0.292580277,14.7123244,1.609572602,9.498626431,50.28474432,0.200723878,0,Narrow
135,2,6,5.500268936,"[[468, 391], b'I']",0,Combined,0.104027906,6.675682633,0.572181459,12.2093454,64.17203707,0.086910701,1,Narrow
136,2,7,4.86812198,"[[468, 276], b'H']",1,Combined,0.205619443,7.766172837,1.000980529,6.51725861,37.76964246,0.288129963,0,Narrow
137,2,8,5.508229017,"[[468, 391], b'I']",0,Combined,0.13352416,7.44862631,0.735481653,10.18910987,55.78485801,0.069070324,0,Narrow
138,2,9,5.510577917,"[[468, 159], b'G']",0,Combined,0.105026304,8.018471167,0.57875563,13.9288525,76.34726625,0.102517513,0,Narrow
139,2,10,5.502204895,"[[235, 276], b'B']",0,Combined,0.17965377,13.75455512,0.988491851,14.61281953,76.56146122,0.074942258,1,Narrow
140,2,11,5.502168655,"[[351, 391], b'F']",0,Sham,0.355426704,16.62229091,1.955617669,8.6595154,46.76714139,0.052708444,0,Narrow
